resolved_name,family,source,source_id,abaxial_stomatal_density_mm2,adaxial_stomatal_density_mm2,abaxial_stomatal_length_um,adaxial_stomatal_length_um,phy_name,grass,c,h,j,m,b,abaxial_stomatal_area_um2,adaxial_stomatal_area_um2,abaxial_gmax,adaxial_gmax,abaxial_fs,adaxial_fs,genus,subspecies,chromostome_number_2n,ploidy_level_x,c_value_reference,c_value_note,dna_amount_2c_pg
Oplismenus_undulatifolius,Poaceae,zhao_difference_2020,Oplismenus undulatifolius,56.660786382616465,31.13272205711515,39.516,39.8265,Oplismenus_undulatifolius,TRUE,0.5,0.5,0.125,0.6100192087353153,0.001111607142857143,195.189282,198.26876278125002,0.5367912405653799,0.2972617855192105,0.011059578211578285,0.0061726462842767536,Oplismenus,NA,NA,NA,NA,NA,NA
Origanum_vulgare,Lamiaceae,zarinkamar_stomatal_2007,Origanum vulgare,253.12,33.81,23.17,23.8,Origanum_vulgare,FALSE,0.5,0.5,0.5,0.4320531824955447,0.001111607142857143,268.42445000000004,283.22,1.9917096842136188,0.2732723347237859,0.06794359678400001,0.009575668200000002,Origanum,NA,30,2,mowforth_intra-population_1989,NA,1.4
Oryza_australiensis,Poaceae,giuliani_coordination_2013,Oryza australiensis C,168.3,150,35.26,36.6,Oryza_australiensis,TRUE,0.5,0.5,0.125,0.6100192087353153,0.001111607142857143,155.40845,167.44500000000002,1.422709625591913,1.3162009209069785,0.026155242134999996,0.02511675,Oryza,NA,NA,NA,NA,NA,NA
Oryza_barthii,Poaceae,giuliani_coordination_2013,Oryza barthii,394,340.7,30.54,33.06,Oryza_barthii,TRUE,0.5,0.5,0.125,0.6100192087353153,0.001111607142857143,116.58645,136.62045,2.884795955018698,2.7003796635836843,0.045935061299999996,0.046546587315,Oryza,NA,24,2,sen_nuclear_1978,NA,1.2
Oryza_brachyantha,Poaceae,giuliani_coordination_2013,Oryza brachyantha,297.7,432.9,19.34,21,Oryza_brachyantha,TRUE,0.5,0.5,0.125,0.6100192087353153,0.001111607142857143,46.75445,55.125,1.3803370662547363,2.179499262636293,0.013918799764999998,0.0238636125,Oryza,NA,24,2,uozu_repetitive_1997,NA,0.8
Oryza_glaberrima,Poaceae,giuliani_coordination_2013,Oryza glaberrima,390.6,299.3,25.94,31.54,Oryza_glaberrima,TRUE,0.5,0.5,0.125,0.6100192087353153,0.001111607142857143,84.11045000000001,124.34644999999999,2.4291372654973653,2.2631755973934506,0.03285354177000001,0.037216892485,Oryza,NA,24,2,sen_nuclear_1978,NA,1.6
Oryza_latifolia,Poaceae,giuliani_coordination_2013,Oryza latifolia,185.6,147.3,30.34,31.66,Oryza_latifolia,TRUE,0.5,0.5,0.125,0.6100192087353153,0.001111607142857143,115.06445,125.29445,1.3500299217710325,1.1180558627078816,0.021355961919999996,0.018455872485,Oryza,NA,48,4,martinez_nuclear_1994,NA,2.4
Oryza_longistaminata,Poaceae,giuliani_coordination_2013,Oryza longistaminata,244.4,236.3,32,28.1,Oryza_longistaminata,TRUE,0.5,0.5,0.125,0.6100192087353153,0.001111607142857143,128,98.70125000000002,1.8749989366537883,1.5919150456921607,0.0312832,0.023323105375000003,Oryza,NA,24,2,sen_nuclear_1978,NA,1.6
Oryza_minuta,Poaceae,giuliani_coordination_2013,Oryza minuta,276.5,212.1,25.14,25.34,Oryza_minuta,TRUE,0.5,0.5,0.125,0.6100192087353153,0.001111607142857143,79.00245000000001,80.26445,1.6665189441562471,1.2885376860327025,0.021844177425000003,0.017024089844999996,Oryza,NA,48,4,sen_nuclear_1978,NA,3.4
Oryza_officinalis,Poaceae,giuliani_coordination_2013,Oryza officinalis,414.1,349.4,24.66,23.4,Oryza_officinalis,TRUE,0.5,0.5,0.125,0.6100192087353153,0.001111607142857143,76.01445,68.445,2.4482070749055223,1.9601468271946478,0.031477583744999996,0.023914682999999996,Oryza,NA,24,2,ammiraju_oryza_2006,NA,1.36
Oryza_punctata,Poaceae,giuliani_coordination_2013,Oryza punctata,383.6,308,21.94,24.66,Oryza_punctata,TRUE,0.5,0.5,0.125,0.6100192087353153,0.001111607142857143,60.17045000000001,76.01445,2.017739368182619,1.8209316084783886,0.023081384620000003,0.0234124506,Oryza,NA,24,2,uozu_repetitive_1997,used diploid,1.2
Oryza_rufipogon,Poaceae,xiong_one_2020,Oryza rufipogon,185.20017532222224,164.80937063333334,22.18656095111111,23.015171613333333,Oryza_rufipogon,TRUE,0.5,0.5,0.125,0.6100192087353153,0.001111607142857143,61.53043585467105,66.21226554889806,0.9851020630116247,0.9093811848214151,0.011395447507937827,0.010912401813321027,Oryza,NA,24,2,ammiraju_oryza_2006,NA,0.92
Oryza_sativa,Poaceae,xiong_one_2020,Oryza sativa,186.7787317,175.70746206666666,23.936398855,21.652596505000002,Oryza_sativa,TRUE,0.5,0.5,0.125,0.6100192087353153,0.001111607142857143,71.61889876820567,58.60436692604229,1.0718551053261909,0.9121159171936986,0.013376887077676147,0.01029722457859859,Oryza,cv. IR36,24,2,bennett_nuclear_1976,NA,1
Oxytropis_aciphylla,Fabaceae,yang_large-scale_2014,Oxytropis aciphylla,255,222,13.1,19.1,Oxytropis_aciphylla,FALSE,0.5,0.5,0.5,0.4320531824955447,0.001111607142857143,85.80499999999999,182.40500000000003,1.1344491015596383,1.4399913427430564,0.021880274999999994,0.04049391000000001,Oxytropis,NA,NA,NA,NA,NA,NA
Oxytropis_falcata,Fabaceae,yang_large-scale_2014,Oxytropis falcata,131,225,24.1,23.2,Oxytropis_falcata,FALSE,0.5,0.5,0.5,0.4320531824955447,0.001111607142857143,290.40500000000003,269.12,1.0721656214740114,1.7727359108341005,0.038043055,0.060552,Oxytropis,NA,NA,NA,NA,NA,NA
Oxytropis_microphylla,Fabaceae,yang_large-scale_2014,Oxytropis microphylla,201,340,23,20.6,Oxytropis_microphylla,FALSE,0.5,0.5,0.5,0.4320531824955447,0.001111607142857143,264.5,212.18000000000004,1.5699919762042234,2.378590482659395,0.053164499999999996,0.0721412,Oxytropis,NA,NA,NA,NA,NA,NA
Oxytropis_ochrocephala,Fabaceae,yang_large-scale_2014,Oxytropis achrocephala,80,310,17,15,Oxytropis_ochrocephala,FALSE,0.5,0.5,0.5,0.4320531824955447,0.001111607142857143,144.5,112.5,0.4618622296426008,1.5791612998809517,0.011559999999999999,0.034875,Oxytropis,NA,NA,NA,NA,NA,NA
Oxytropis_sericopetala,Fabaceae,yang_large-scale_2014,Oxytropis sericopetala,153,300,23.6,21.3,Oxytropis_sericopetala,FALSE,0.5,0.5,0.5,0.4320531824955447,0.001111607142857143,278.48,226.84500000000003,1.2262442197011054,2.170073270158985,0.04260744,0.0680535,Oxytropis,NA,NA,NA,NA,NA,NA
Panicum_antidotale,Poaceae,kawamitsu_stomatal_1996,Panicum antidotale,126.1,119.3,28.8,28.6,Panicum_antidotale,TRUE,0.5,0.5,0.125,0.6100192087353153,0.001111607142857143,103.68,102.245,0.8706776977121047,0.818005686359962,0.013074047999999998,0.012197828499999999,Panicum,NA,NA,NA,NA,NA,NA
Panicum_bisulcatum,Poaceae,zhao_difference_2020,Panicum bisulcatum,205.41413124965467,248.65921151273983,18.413,15.45075,Panicum_bisulcatum,TRUE,0.5,0.5,0.125,0.6100192087353153,0.001111607142857143,42.379821125,29.8407094453125,0.9067858116405136,0.9210940217343788,0.008705414138907637,0.007420167281652173,Panicum,NA,NA,NA,NA,NA,NA
Panicum_coloratum,Poaceae,kawamitsu_stomatal_1996,Panicum coloratum,113.4,125.2,35.6,32.7,Panicum_coloratum,TRUE,0.5,0.5,0.125,0.6100192087353153,0.001111607142857143,158.42000000000002,133.66125000000002,0.9678607952164496,0.981526269258653,0.017964828000000002,0.016734388500000003,Panicum,NA,NA,NA,NA,NA,NA
Panicum_dichotomiflorum,Poaceae,kawamitsu_stomatal_1996,Panicum dichotomiflorum,89.7,108.1,35,33.4,Panicum_dichotomiflorum,TRUE,0.5,0.5,0.125,0.6100192087353153,0.001111607142857143,153.125,139.445,0.7526799255350562,0.8656094850585575,0.0137353125,0.015074004499999996,Panicum,NA,54,6,bennett_dna_1998,NA,3.4
Panicum_maximum,Poaceae,pathare_increased_2020,Panicum maximum,63.83928571,111.7857143025,26.033552085,23.4067708325,Panicum_maximum,TRUE,0.5,0.5,0.125,0.6100192087353153,0.001111607142857143,84.71822927030098,68.4846151006466,0.39844767169067724,0.6273034199996124,0.005408351243232029,0.007655601617757557,Panicum,NA,NA,NA,NA,NA,NA
Panicum_miliaceum,Poaceae,pathare_increased_2020,Panicum miliaceum,68.0357142825,88.57142857,35.479437499999996,34.1582395825,Panicum_miliaceum,TRUE,0.5,0.5,0.125,0.6100192087353153,0.001111607142857143,157.34881066455074,145.84816642193374,0.5787133757988417,0.7253355702440797,0.010705338725064562,0.012917980454305776,Panicum,NA,NA,NA,NA,NA,NA
Panicum_virgatum,Poaceae,pathare_increased_2020,Panicum virgatum,91.3035714375,117.2976190325,40.65093333,34.209175,Panicum_virgatum,TRUE,0.5,0.5,0.125,0.6100192087353153,0.001111607142857143,206.56229757501313,146.28345677257815,0.8898322319317312,0.9620145559559411,0.018859875492934344,0.017158701183267053,Panicum,population SWG-24,36,4,hopkins_chromosome_1996,NA,2.8
Papaver_glaucum,Papaveraceae,zarinkamar_stomatal_2007,Papaver glaucum,107.97,93.62,37.53,34.53,Papaver_glaucum,FALSE,0.5,0.5,0.5,0.4320531824955447,0.001111607142857143,704.25045,596.1604500000001,1.3761165095531038,1.0978392523224374,0.0760379210865,0.05581254132900001,Papaver,NA,14,2,srivastava_evolutionary_1991,NA,6.2
